,t,avg_velocity
0,0,0.0
1,1,0.102
2,2,0.214
3,3,0.358
4,4,0.4620860859341109
5,5,0.47489179834517997
6,6,0.49275809053501374
7,7,0.5060505340319724
8,8,0.49761807107212214
9,9,0.5304971298216343
10,10,0.4983477999717595
11,11,0.5161361052031841
12,12,0.5712584452974355
13,13,0.5723120561840247
14,14,0.5453154721729029
15,15,0.5257731723655985
16,16,0.5489559742543877
17,17,0.5585559380570376
18,18,0.5449222909694538
19,19,0.5295454102379922
20,20,0.5035203363465508
21,21,0.5006188631710069
22,22,0.5131347114055772
23,23,0.5030835917231004
24,24,0.4807296232522676
25,25,0.5431338736223226
26,26,0.5471686668490916
27,27,0.5775488139835744
28,28,0.5586069598624479
29,29,0.5363744662087115
30,30,0.5406658054270684
31,31,0.55249092650272
32,32,0.538978818481443
33,33,0.5355916109300121
34,34,0.5059248257609662
35,35,0.49771753986494105
36,36,0.5252561140844199
37,37,0.5213597326839623
38,38,0.5101039795919383
39,39,0.5002200944081099
40,40,0.4839163127885894
41,41,0.49211764999491936
42,42,0.524177574260183
43,43,0.5148847646152597
44,44,0.5208821091132533
45,45,0.5238985390990881
46,46,0.5274739855485148
47,47,0.5228686312082587
48,48,0.499114253851996
49,49,0.4782783325691078
50,50,0.5076033451265035
51,51,0.5399985810511123
52,52,0.520766898903155
53,53,0.5137395203123444
54,54,0.5544663181953967
55,55,0.562762336854718
56,56,0.566362000763669
57,57,0.5628143037270842
58,58,0.5467813038798768
59,59,0.5548447219458933
60,60,0.559054912474328
61,61,0.5795772000107016
62,62,0.5542448227580299
63,63,0.5603885858863429
64,64,0.5350213815551119
65,65,0.5491232396996523
66,66,0.5761635296335426
67,67,0.5671908400536256
68,68,0.5547824163934102
69,69,0.5481169209468038
70,70,0.5602958231856648
71,71,0.5570006680121418
72,72,0.5911115645398951
73,73,0.5749342470574349
74,74,0.6025320259862333
75,75,0.5923227313292911
76,76,0.565056625129268
77,77,0.5713640696327815
78,78,0.5821185046315709
79,79,0.5089108863733502
80,80,0.554471925026624
81,81,0.5538628302338302
82,82,0.5635829146845258
83,83,0.5933580446827231
84,84,0.568136404522959
85,85,0.5824486710616834
86,86,0.5829211123266838
87,87,0.611577245599367
88,88,0.6281812223151845
89,89,0.6087947429417452
90,90,0.5731279504266426
91,91,0.5446350544934428
92,92,0.5601795287089554
93,93,0.596865305960157
94,94,0.6441504322759711
95,95,0.6737258437901924
96,96,0.6764455765004236
97,97,0.6673953153769706
98,98,0.6336006523198372
99,99,0.5752280303518045
100,100,0.5518291104338333
101,101,0.5324500346094233
102,102,0.5371731492507138
103,103,0.5818065581695901
104,104,0.6016915823919031
105,105,0.620671132621519
106,106,0.6369079972744344
107,107,0.5963056426913923
108,108,0.6175312493356044
109,109,0.5857646622482398
110,110,0.6112063293094606
111,111,0.6491617134531056
112,112,0.6222013780618462
113,113,0.6278956901247624
114,114,0.5428185454932851
115,115,0.5380666546761159
116,116,0.5645751911413164
117,117,0.5715838956261223
118,118,0.563763629809984
119,119,0.5668455109352802
120,120,0.5846023583470492
121,121,0.5975665854595354
122,122,0.570136765080323
123,123,0.588576679395693
124,124,0.5849363730272132
125,125,0.6000515137357536
126,126,0.580124511503642
127,127,0.5402210161797038
128,128,0.5392222157240535
129,129,0.527428824453908
130,130,0.5205371994434977
131,131,0.5338398534244219
132,132,0.532147865434811
133,133,0.5153614810253453
134,134,0.5503725602175515
135,135,0.5470452639003605
136,136,0.5421356467241889
137,137,0.5443223330761239
138,138,0.5464501831850802
139,139,0.5647045563839721
140,140,0.5639043016819607
141,141,0.5425250119632645
142,142,0.5053179181571587
143,143,0.544660970842528
144,144,0.5965300008315957
145,145,0.5981942687580721
146,146,0.6050047652566982
147,147,0.5768247415624385
148,148,0.5500516076362133
149,149,0.5856119055461353
150,150,0.6297971924716501
151,151,0.6656604201247224
152,152,0.6659307224865979
153,153,0.6822336534803362
154,154,0.6556176222040776
155,155,0.6453437588688169
156,156,0.6744349273145945
157,157,0.6647959921306168
158,158,0.6878142337299125
159,159,0.6748483947286731
160,160,0.6766290370534191
161,161,0.6252481095569232
162,162,0.6108468084435019
163,163,0.5845668028031776
164,164,0.5824025775869751
165,165,0.5627509766989998
166,166,0.5993400499110296
167,167,0.5975274883419763
168,168,0.6352535503614862
169,169,0.6526182258154545
170,170,0.6952657501686765
171,171,0.6649094714036637
172,172,0.6573549987962015
173,173,0.6445744981521484
174,174,0.6599280727608121
175,175,0.6457874858506325
176,176,0.6504414145865222
177,177,0.647356527013778
178,178,0.641780628486648
179,179,0.63039427994435
180,180,0.6226888781101287
181,181,0.6005856290335743
182,182,0.6213097311064577
183,183,0.620335624540254
184,184,0.6010812046844619
185,185,0.5946812777258936
186,186,0.594011092621885
187,187,0.5526269399736993
188,188,0.514564811463529
189,189,0.53611712818987
190,190,0.567595366472115
191,191,0.5865156724136342
192,192,0.592915713148565
193,193,0.5735906650842533
194,194,0.6057591326312237
195,195,0.5852747520155654
196,196,0.5996570278633159
197,197,0.6152442522700927
198,198,0.6436951384671887
199,199,0.681494126368176
200,200,0.665834711062643
201,201,0.67337600454632
202,202,0.6658399509483404
203,203,0.6166890679923498
204,204,0.6258354794512998
205,205,0.6114436591931567
206,206,0.6091266353446777
207,207,0.6881761067127407
208,208,0.7240551817784788
209,209,0.7676111411405544
210,210,0.7473559372294367
211,211,0.7466590399681207
212,212,0.7503320959915554
213,213,0.7173456933947999
214,214,0.656238337391356
215,215,0.660351723927506
216,216,0.647641833797405
217,217,0.6266867312235749
