,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,85.0
3,3,58.0
4,4,38.0
5,5,38.0
6,6,53.0
7,7,55.0
8,8,63.0
9,9,55.0
10,10,44.0
11,11,48.0
12,12,48.0
13,13,47.0
14,14,52.0
15,15,51.0
16,16,40.0
17,17,33.0
18,18,31.0
19,19,40.0
20,20,45.0
21,21,48.0
22,22,46.0
23,23,42.0
24,24,30.0
25,25,35.0
26,26,42.0
27,27,39.0
28,28,39.0
29,29,28.0
30,30,28.0
31,31,30.0
32,32,39.0
33,33,36.0
34,34,32.0
35,35,36.0
36,36,32.0
37,37,32.0
38,38,35.0
39,39,34.0
40,40,27.0
41,41,34.0
42,42,23.0
43,43,18.0
44,44,24.0
45,45,30.0
46,46,29.0
47,47,35.0
48,48,36.0
49,49,36.0
50,50,38.0
51,51,33.0
52,52,26.0
53,53,28.0
54,54,27.0
55,55,29.0
56,56,23.0
57,57,18.0
58,58,29.0
59,59,32.0
60,60,31.0
61,61,30.0
62,62,26.0
63,63,24.0
64,64,25.0
65,65,24.0
66,66,27.0
67,67,27.0
68,68,32.0
69,69,28.0
70,70,25.0
71,71,23.0
72,72,24.0
73,73,21.0
74,74,18.0
75,75,15.0
76,76,18.0
77,77,24.0
78,78,25.0
79,79,20.0
80,80,19.0
81,81,26.0
82,82,17.0
83,83,22.0
84,84,24.0
85,85,27.0
86,86,20.0
87,87,24.0
88,88,20.0
89,89,27.0
90,90,22.0
91,91,20.0
92,92,22.0
93,93,23.0
94,94,16.0
95,95,20.0
96,96,25.0
97,97,22.0
98,98,18.0
99,99,21.0
100,100,23.0
101,101,25.0
102,102,30.0
103,103,25.0
104,104,19.0
105,105,33.0
106,106,27.0
107,107,21.0
108,108,18.0
109,109,21.0
110,110,25.0
111,111,28.0
112,112,26.0
113,113,20.0
114,114,28.0
115,115,27.0
116,116,17.0
117,117,17.0
118,118,16.0
119,119,20.0
120,120,16.0
121,121,19.0
122,122,24.0
123,123,22.0
124,124,16.0
125,125,18.0
126,126,18.0
127,127,21.0
128,128,16.0
129,129,15.0
130,130,21.0
131,131,21.0
132,132,23.0
133,133,23.0
134,134,21.0
135,135,21.0
136,136,26.0
137,137,24.0
138,138,25.0
139,139,24.0
140,140,21.0
141,141,19.0
142,142,19.0
143,143,13.0
144,144,21.0
145,145,22.0
146,146,25.0
147,147,25.0
148,148,19.0
149,149,19.0
150,150,20.0
151,151,23.0
152,152,22.0
153,153,23.0
154,154,22.0
155,155,23.0
156,156,23.0
157,157,23.0
158,158,18.0
159,159,23.0
160,160,18.0
161,161,25.0
