,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,74.0
3,3,45.0
4,4,38.0
5,5,26.0
6,6,23.0
7,7,18.0
8,8,16.0
9,9,19.0
10,10,23.0
11,11,31.0
12,12,32.0
13,13,37.0
14,14,32.0
15,15,35.0
16,16,28.0
17,17,38.0
18,18,39.0
19,19,36.0
20,20,36.0
21,21,34.0
22,22,35.0
23,23,28.0
24,24,28.0
25,25,34.0
26,26,35.0
27,27,37.0
28,28,32.0
29,29,38.0
30,30,36.0
31,31,34.0
32,32,34.0
33,33,32.0
34,34,27.0
35,35,30.0
36,36,25.0
37,37,28.0
38,38,33.0
39,39,29.0
40,40,26.0
41,41,29.0
42,42,38.0
43,43,36.0
44,44,38.0
45,45,32.0
46,46,35.0
47,47,35.0
48,48,39.0
49,49,35.0
50,50,28.0
51,51,28.0
52,52,31.0
53,53,31.0
54,54,30.0
55,55,27.0
56,56,28.0
57,57,32.0
58,58,33.0
59,59,30.0
60,60,26.0
61,61,24.0
62,62,31.0
63,63,35.0
64,64,33.0
65,65,35.0
66,66,31.0
67,67,34.0
68,68,34.0
69,69,38.0
70,70,38.0
71,71,35.0
72,72,36.0
73,73,35.0
74,74,32.0
75,75,29.0
76,76,31.0
77,77,24.0
78,78,28.0
79,79,36.0
80,80,39.0
81,81,32.0
82,82,29.0
83,83,20.0
84,84,25.0
85,85,18.0
86,86,24.0
87,87,29.0
88,88,31.0
89,89,32.0
90,90,36.0
91,91,27.0
92,92,27.0
93,93,24.0
94,94,29.0
95,95,25.0
96,96,26.0
97,97,27.0
98,98,28.0
99,99,25.0
