,t,fuel_consumption
0,0,21.90500000000001
1,1,6.679999999999998
2,2,4.019999999999998
3,3,3.186666666666667
4,4,2.9300000000000006
5,5,3.0
6,6,3.313333333333333
7,7,3.834285714285714
8,8,3.3393414604946554
9,9,4.05757446616912
10,10,4.952571866235802
11,11,4.844264033591425
12,12,4.776509657144084
13,13,4.080469772667433
14,14,4.6665412140424545
15,15,4.814716461896774
16,16,5.037039852960373
17,17,4.535198168861084
18,18,4.747090962539295
19,19,4.656335819498927
20,20,4.496778197635057
21,21,4.830008044249066
22,22,4.798227301813503
23,23,4.68671407527736
24,24,5.1426443760228615
25,25,4.42686679671223
26,26,4.446818763956014
27,27,5.0541806239481515
28,28,4.8781180526788415
29,29,4.2523448268615205
30,30,4.557433973505618
31,31,5.188281988066069
32,32,4.577120764065252
33,33,4.792971039722413
34,34,3.7854080728444837
35,35,4.6519494211997054
36,36,4.975979369522014
37,37,4.450985177546828
38,38,4.941250578640879
39,39,4.420439257460843
40,40,4.688700451066987
41,41,4.72651475159825
42,42,4.3764383409962875
43,43,4.901370646276245
44,44,4.765586046088993
45,45,4.475377643264995
46,46,4.620650960637438
47,47,4.233762702990984
48,48,4.587079463952537
49,49,4.258908053879961
50,50,4.329990562498862
51,51,4.741668423374654
52,52,4.7724312687991475
53,53,4.546583665776401
54,54,4.2066234208440285
55,55,4.533180772976652
56,56,4.792704786994055
57,57,4.727985075604679
58,58,4.772376883834532
59,59,3.973180310072047
60,60,5.246425760619656
61,61,5.123585488077634
62,62,4.800867962122712
63,63,5.576836271636076
64,64,5.023052880566817
65,65,4.839455234157795
66,66,4.549013255836931
67,67,4.933152420122534
68,68,4.708431319533272
69,69,4.64667866074254
70,70,4.617335011472838
71,71,4.104582844445728
72,72,4.853512335993515
73,73,4.470103788851033
74,74,5.121705215084835
75,75,4.480847089093071
76,76,3.849351314675485
77,77,4.52157206983409
78,78,4.848258532561426
79,79,4.320081857572804
80,80,4.990978093469288
81,81,4.444037025453338
82,82,4.93598985939598
83,83,5.204298710740006
84,84,4.771585492498473
85,85,4.391891802464804
86,86,4.8269666801169935
87,87,4.989678172379421
88,88,4.636060923831648
89,89,4.481929670591344
90,90,4.443349593745534
91,91,4.679322251043271
92,92,4.65956555312347
93,93,4.276733548488286
94,94,5.0581059355061235
95,95,5.007405271180017
96,96,4.123714208000321
97,97,4.817129448337388
98,98,4.888681264777837
99,99,4.575996883234638
100,100,5.13437937132589
101,101,5.107045810092881
102,102,4.5827199655463735
103,103,4.178391035359006
104,104,4.332876864683798
105,105,4.164506420699092
106,106,4.990082256820955
107,107,5.079223756913105
108,108,4.839167987268153
109,109,4.880418461565486
110,110,4.679791966793548
111,111,4.0688788970902845
112,112,4.279986355314424
113,113,4.908236812828726
114,114,5.2478200646105675
115,115,5.298541539767337
116,116,4.83893015309803
117,117,4.763407237511447
118,118,5.295251086715212
119,119,5.930541361514269
120,120,4.8517704972617
121,121,5.271614996937221
122,122,4.492969662362927
123,123,4.519936532054159
124,124,3.7764235804153743
125,125,4.5200706265890185
126,126,4.414338955657596
127,127,4.468971382700917
128,128,4.375720806612706
129,129,4.56539858872853
130,130,4.340783152727421
131,131,4.730177576040784
132,132,4.8079015488247645
133,133,5.033160524140911
134,134,5.178292539727537
135,135,4.98702049926993
136,136,4.935546877272668
137,137,5.368266192582821
138,138,5.31429404189385
139,139,4.613312122015217
140,140,5.661338262642415
141,141,4.475614262865879
142,142,4.252699097501762
143,143,4.618215621099296
144,144,4.803470067978203
145,145,4.749430067694072
146,146,5.402110132328573
147,147,4.945331687233483
148,148,4.762405385312111
149,149,5.045914322967658
150,150,4.328104071125467
151,151,4.631715335865265
152,152,4.705038958656747
153,153,4.82675530210621
154,154,4.45856213984339
155,155,4.39217546479421
156,156,4.446738671539311
157,157,4.509553633490795
158,158,4.423927797744026
159,159,4.638760643318142
160,160,4.64547946440835
161,161,4.504944328611351
162,162,5.370260615700274
163,163,5.29332037376057
164,164,4.4606565987953015
165,165,5.013478670708844
166,166,4.658963896131849
167,167,5.073474582813581
168,168,5.181783410161423
169,169,4.697100457587477
170,170,4.41052884568375
171,171,4.365314559154146
172,172,4.563066968432366
173,173,4.203953381863647
174,174,4.5600134594741215
175,175,4.747587899533239
176,176,4.061641663449034
177,177,4.504051495265943
178,178,5.002463342977095
179,179,4.6259423739790355
180,180,5.381854530992644
181,181,5.346579387280896
182,182,4.17760442689863
183,183,4.577490033240394
184,184,4.74438867645754
185,185,4.679672373905552
186,186,4.071878837561738
187,187,4.456221487238634
188,188,5.18904829938005
189,189,5.409742525694178
190,190,4.6223636841994145
191,191,4.3978797603097
192,192,4.396591560887276
193,193,4.88097019080286
194,194,4.4500626833704775
195,195,4.523318794832793
196,196,5.918542401911224
197,197,4.740167455954816
198,198,5.2030810758544215
199,199,4.328908870503628
200,200,4.841740092470736
201,201,5.143018555408088
202,202,4.836834582257354
203,203,4.743960197391295
204,204,5.020195966125923
205,205,4.819261332859591
206,206,4.878197869893906
207,207,4.75071925191217
208,208,5.292977290019651
209,209,5.38952774782233
210,210,5.126887824790814
211,211,4.233046310818871
212,212,4.620535178725166
213,213,4.222953140075037
214,214,4.585325398430966
215,215,4.960652573562368
216,216,4.745239484703314
217,217,4.837197410842719
218,218,4.231144214326091
219,219,5.290677974230887
220,220,5.184300026267724
221,221,5.111557666691028
222,222,5.250580966675897
223,223,4.52860408572946
224,224,4.989646888656707
225,225,5.297840408795986
226,226,5.1320159512259576
227,227,5.373862580394399
228,228,5.30284766722402
229,229,4.768980418308795
230,230,4.932169034523913
231,231,5.086956407824122
232,232,4.487089446793495
233,233,5.102514193815674
234,234,4.916986408037381
235,235,4.433298301266897
236,236,4.280821293405747
237,237,4.936989530179182
238,238,4.608194375547845
239,239,4.844521039114592
240,240,4.954295596532254
241,241,4.815963944998155
242,242,4.963807986985985
243,243,4.11119496058571
244,244,4.732016441494091
245,245,5.096065165761007
246,246,4.90721866896108
247,247,4.858503589601709
248,248,5.759872703394725
249,249,4.715935003064799
250,250,4.008750906638566
251,251,4.527650678804086
252,252,3.6627111361747327
253,253,4.5625935338925
254,254,4.573644386185814
255,255,4.241914072062696
256,256,5.087033179112732
257,257,4.721897865485022
258,258,4.923584858027968
259,259,4.680467993463227
260,260,4.460719254512039
261,261,4.711315029226348
262,262,5.0214051735955
263,263,4.406268871123234
264,264,5.337113504336262
265,265,5.247845759414889
266,266,4.8600051058054
267,267,4.814581383716175
