,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,12.0
10,10,20.0
11,11,25.0
12,12,22.0
13,13,14.0
14,14,19.0
15,15,19.0
16,16,21.0
17,17,19.0
18,18,19.0
19,19,22.0
20,20,17.0
21,21,19.0
22,22,18.0
23,23,20.0
24,24,26.0
25,25,19.0
26,26,20.0
27,27,23.0
28,28,25.0
29,29,14.0
30,30,17.0
31,31,21.0
32,32,24.0
33,33,21.0
34,34,16.0
35,35,12.0
36,36,21.0
37,37,23.0
38,38,20.0
39,39,17.0
40,40,18.0
41,41,20.0
42,42,19.0
43,43,20.0
44,44,20.0
45,45,20.0
46,46,18.0
47,47,21.0
48,48,16.0
49,49,16.0
50,50,17.0
51,51,19.0
52,52,21.0
53,53,19.0
54,54,18.0
55,55,17.0
56,56,20.0
57,57,21.0
58,58,22.0
59,59,16.0
60,60,20.0
61,61,26.0
62,62,23.0
63,63,23.0
64,64,26.0
65,65,22.0
66,66,19.0
67,67,22.0
68,68,22.0
69,69,21.0
70,70,19.0
71,71,16.0
72,72,17.0
73,73,19.0
74,74,22.0
75,75,20.0
76,76,12.0
77,77,17.0
78,78,24.0
79,79,19.0
80,80,17.0
81,81,17.0
82,82,18.0
83,83,23.0
84,84,21.0
85,85,17.0
86,86,20.0
87,87,22.0
88,88,20.0
89,89,14.0
90,90,19.0
91,91,19.0
92,92,24.0
93,93,20.0
94,94,19.0
95,95,24.0
96,96,24.0
97,97,17.0
98,98,27.0
99,99,23.0
100,100,23.0
101,101,23.0
102,102,19.0
103,103,17.0
104,104,19.0
105,105,13.0
106,106,23.0
107,107,21.0
108,108,18.0
109,109,26.0
110,110,23.0
111,111,13.0
112,112,15.0
113,113,22.0
114,114,24.0
115,115,25.0
116,116,24.0
117,117,17.0
118,118,21.0
119,119,26.0
120,120,26.0
121,121,21.0
122,122,19.0
123,123,18.0
124,124,16.0
125,125,19.0
126,126,17.0
127,127,17.0
128,128,15.0
129,129,18.0
130,130,19.0
131,131,21.0
132,132,22.0
133,133,19.0
134,134,22.0
135,135,26.0
136,136,22.0
137,137,25.0
138,138,27.0
139,139,23.0
140,140,21.0
141,141,27.0
142,142,12.0
143,143,18.0
144,144,21.0
145,145,20.0
146,146,25.0
147,147,27.0
148,148,21.0
149,149,22.0
150,150,20.0
151,151,20.0
152,152,20.0
153,153,18.0
154,154,16.0
155,155,13.0
156,156,14.0
157,157,20.0
158,158,18.0
159,159,18.0
160,160,20.0
161,161,21.0
