,t,avg_velocity
0,0,0.0
1,1,0.19999999999999996
2,2,0.3999999999999999
3,3,0.6
4,4,0.7999999999999998
5,5,1.0
6,6,1.2
7,7,1.4000000000000004
8,8,1.107472154526208
9,9,0.9476963919100773
10,10,0.8708535240162932
11,11,0.7972391937015287
12,12,0.8098894828622801
13,13,0.7836463044509958
14,14,0.8000006650490612
15,15,0.797417286723158
16,16,0.7905155489888054
17,17,0.780621158964732
18,18,0.7338397381656734
19,19,0.7553163317143979
20,20,0.7537038918301185
21,21,0.7603002702857097
22,22,0.7435616338621357
23,23,0.7645052676263683
24,24,0.7416402867154259
25,25,0.755731962332515
26,26,0.7260081592653199
27,27,0.7524535120729783
28,28,0.7260533124765867
29,29,0.7153703826653739
30,30,0.7323651663723983
31,31,0.7659010253824686
32,32,0.7870137334470564
33,33,0.805890942833899
34,34,0.7439653176783496
35,35,0.756648217931208
36,36,0.7437165198482443
37,37,0.7179489896563304
38,38,0.6938133495196419
39,39,0.6922045926650864
40,40,0.6919782236602054
41,41,0.7337096686856438
42,42,0.7234338359092117
43,43,0.7331138481749677
44,44,0.7115406695140633
45,45,0.7641852083079224
46,46,0.8098409515461917
47,47,0.7877821475504975
48,48,0.7684429830404582
49,49,0.7565725555717766
50,50,0.7287775564542663
51,51,0.7201903652717431
52,52,0.7524315506391769
53,53,0.7585460649106005
54,54,0.7778016312232187
55,55,0.7753237672812073
56,56,0.7782807693554815
57,57,0.7976728660322021
58,58,0.7782137166010377
59,59,0.7704363136408007
60,60,0.7218826736627281
61,61,0.7052629790785097
62,62,0.7694945056749848
63,63,0.7497488379615964
64,64,0.76847894458984
65,65,0.7189755768115209
66,66,0.7202607606128478
67,67,0.7282180650270675
68,68,0.7363991397244001
69,69,0.7782093905708811
70,70,0.7552137333258852
71,71,0.7467750726889727
72,72,0.7715478905417088
73,73,0.7561365242215282
74,74,0.7478968507227246
75,75,0.6618164653423093
76,76,0.6640435213833835
77,77,0.7222694615254841
78,78,0.725043284995837
79,79,0.7636780264944194
80,80,0.7207264567708489
81,81,0.6838019307118954
82,82,0.7113840942648588
83,83,0.7263963135529811
84,84,0.747645562359926
85,85,0.7122445981822985
86,86,0.7193093235532295
87,87,0.7550440820092714
88,88,0.7719812778154075
89,89,0.7490041269340019
90,90,0.7600747620961846
91,91,0.7441922730647739
92,92,0.692141660286542
93,93,0.7234493117236963
94,94,0.756817956915688
95,95,0.7566518028120638
96,96,0.7371907359786818
97,97,0.7892620343529478
98,98,0.7925246421071143
99,99,0.7739178215653104
