,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,7.0
10,10,11.0
11,11,12.0
12,12,13.0
13,13,17.0
14,14,14.0
15,15,18.0
16,16,20.0
17,17,22.0
18,18,20.0
19,19,23.0
20,20,24.0
21,21,19.0
22,22,18.0
23,23,16.0
24,24,16.0
25,25,14.0
26,26,16.0
27,27,18.0
28,28,19.0
29,29,31.0
30,30,25.0
31,31,17.0
32,32,12.0
33,33,17.0
34,34,19.0
35,35,23.0
36,36,22.0
37,37,25.0
38,38,20.0
39,39,18.0
40,40,16.0
41,41,17.0
42,42,12.0
43,43,18.0
44,44,18.0
45,45,17.0
46,46,16.0
47,47,14.0
48,48,20.0
49,49,20.0
50,50,21.0
51,51,20.0
52,52,17.0
53,53,18.0
54,54,16.0
55,55,16.0
56,56,21.0
57,57,15.0
58,58,21.0
59,59,22.0
60,60,18.0
61,61,19.0
62,62,17.0
63,63,18.0
64,64,18.0
65,65,24.0
66,66,26.0
67,67,18.0
68,68,14.0
69,69,15.0
70,70,18.0
71,71,16.0
72,72,19.0
73,73,25.0
74,74,25.0
75,75,19.0
76,76,22.0
77,77,21.0
78,78,23.0
79,79,19.0
80,80,15.0
81,81,19.0
82,82,23.0
83,83,24.0
84,84,16.0
85,85,19.0
86,86,16.0
87,87,15.0
88,88,20.0
89,89,20.0
90,90,14.0
91,91,23.0
92,92,26.0
93,93,20.0
94,94,21.0
95,95,25.0
96,96,23.0
97,97,17.0
98,98,18.0
99,99,14.0
100,100,20.0
101,101,22.0
102,102,24.0
103,103,22.0
104,104,22.0
105,105,21.0
106,106,14.0
107,107,8.0
108,108,14.0
109,109,15.0
110,110,13.0
111,111,15.0
112,112,17.0
113,113,16.0
114,114,21.0
115,115,25.0
116,116,25.0
117,117,19.0
118,118,22.0
119,119,24.0
120,120,19.0
121,121,19.0
122,122,20.0
123,123,20.0
124,124,25.0
125,125,27.0
126,126,23.0
127,127,26.0
128,128,19.0
129,129,14.0
130,130,20.0
131,131,23.0
132,132,16.0
133,133,16.0
134,134,17.0
135,135,24.0
136,136,19.0
137,137,20.0
138,138,23.0
139,139,16.0
140,140,10.0
141,141,16.0
142,142,16.0
143,143,17.0
144,144,16.0
145,145,14.0
146,146,20.0
147,147,18.0
148,148,14.0
149,149,16.0
150,150,22.0
151,151,24.0
152,152,24.0
153,153,22.0
154,154,22.0
155,155,18.0
156,156,18.0
157,157,17.0
158,158,22.0
159,159,17.0
160,160,20.0
161,161,20.0
