,t,cars_in_congestion
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,1.0
11,11,0.0
12,12,3.0
13,13,2.0
14,14,1.0
15,15,1.0
16,16,2.0
17,17,1.0
18,18,1.0
19,19,5.0
20,20,6.0
21,21,2.0
22,22,4.0
23,23,4.0
24,24,6.0
25,25,2.0
26,26,5.0
27,27,5.0
28,28,7.0
29,29,10.0
30,30,7.0
31,31,3.0
32,32,3.0
33,33,4.0
34,34,2.0
35,35,3.0
36,36,6.0
37,37,6.0
38,38,5.0
39,39,5.0
40,40,7.0
41,41,6.0
42,42,3.0
43,43,3.0
44,44,2.0
45,45,3.0
46,46,5.0
47,47,4.0
48,48,3.0
49,49,2.0
50,50,2.0
51,51,3.0
52,52,3.0
53,53,3.0
54,54,5.0
55,55,2.0
56,56,4.0
57,57,3.0
58,58,4.0
59,59,3.0
60,60,2.0
61,61,1.0
62,62,2.0
63,63,5.0
64,64,5.0
65,65,7.0
66,66,5.0
67,67,2.0
68,68,2.0
69,69,7.0
70,70,5.0
71,71,2.0
72,72,5.0
73,73,4.0
74,74,5.0
75,75,6.0
76,76,10.0
77,77,5.0
78,78,7.0
79,79,5.0
80,80,0.0
81,81,5.0
82,82,2.0
83,83,4.0
84,84,6.0
85,85,2.0
86,86,3.0
87,87,6.0
88,88,3.0
89,89,1.0
90,90,4.0
91,91,7.0
92,92,7.0
93,93,4.0
94,94,1.0
95,95,2.0
96,96,5.0
97,97,4.0
98,98,3.0
99,99,2.0
100,100,3.0
101,101,3.0
102,102,5.0
103,103,3.0
104,104,1.0
105,105,3.0
106,106,5.0
107,107,5.0
108,108,2.0
109,109,2.0
110,110,3.0
111,111,2.0
112,112,3.0
113,113,3.0
114,114,1.0
115,115,5.0
116,116,0.0
117,117,0.0
118,118,3.0
119,119,1.0
120,120,3.0
121,121,3.0
122,122,3.0
123,123,3.0
124,124,5.0
125,125,3.0
126,126,9.0
127,127,8.0
128,128,2.0
129,129,3.0
130,130,4.0
131,131,3.0
132,132,5.0
133,133,4.0
134,134,4.0
135,135,3.0
136,136,6.0
137,137,5.0
138,138,5.0
139,139,4.0
140,140,1.0
141,141,2.0
142,142,3.0
143,143,3.0
144,144,3.0
145,145,3.0
146,146,2.0
147,147,3.0
148,148,7.0
149,149,6.0
150,150,7.0
151,151,5.0
152,152,2.0
153,153,2.0
154,154,5.0
155,155,7.0
156,156,8.0
157,157,5.0
158,158,4.0
159,159,2.0
160,160,3.0
161,161,6.0
162,162,8.0
163,163,7.0
164,164,2.0
165,165,3.0
166,166,2.0
167,167,1.0
168,168,2.0
169,169,4.0
170,170,5.0
171,171,2.0
172,172,5.0
173,173,5.0
174,174,5.0
175,175,7.0
176,176,4.0
177,177,8.0
178,178,5.0
179,179,5.0
180,180,3.0
181,181,3.0
182,182,4.0
183,183,2.0
184,184,4.0
185,185,2.0
186,186,5.0
187,187,8.0
188,188,5.0
189,189,2.0
190,190,5.0
191,191,4.0
192,192,5.0
193,193,1.0
194,194,0.0
195,195,0.0
196,196,4.0
197,197,5.0
198,198,2.0
199,199,3.0
200,200,3.0
201,201,6.0
202,202,7.0
203,203,4.0
204,204,1.0
205,205,4.0
206,206,2.0
207,207,6.0
208,208,5.0
209,209,5.0
210,210,8.0
211,211,6.0
212,212,4.0
213,213,2.0
214,214,4.0
215,215,5.0
216,216,5.0
217,217,3.0
218,218,5.0
219,219,5.0
220,220,6.0
221,221,4.0
222,222,3.0
223,223,3.0
224,224,5.0
225,225,3.0
226,226,3.0
227,227,5.0
228,228,1.0
229,229,5.0
230,230,3.0
231,231,5.0
232,232,5.0
233,233,3.0
234,234,2.0
235,235,6.0
236,236,7.0
237,237,6.0
238,238,5.0
239,239,8.0
240,240,5.0
241,241,9.0
242,242,7.0
243,243,4.0
244,244,0.0
245,245,3.0
246,246,8.0
247,247,5.0
248,248,3.0
249,249,3.0
250,250,3.0
251,251,2.0
252,252,5.0
253,253,10.0
254,254,4.0
255,255,1.0
256,256,0.0
257,257,3.0
258,258,3.0
259,259,5.0
260,260,4.0
261,261,8.0
262,262,5.0
263,263,0.0
264,264,2.0
265,265,0.0
266,266,3.0
267,267,3.0
268,268,5.0
269,269,6.0
270,270,3.0
271,271,6.0
272,272,5.0
273,273,3.0
274,274,3.0
275,275,3.0
276,276,7.0
277,277,8.0
278,278,9.0
279,279,4.0
280,280,7.0
281,281,5.0
282,282,3.0
283,283,4.0
284,284,2.0
285,285,4.0
286,286,6.0
287,287,7.0
288,288,3.0
289,289,4.0
290,290,2.0
291,291,1.0
292,292,3.0
293,293,10.0
294,294,4.0
295,295,6.0
296,296,7.0
297,297,2.0
298,298,3.0
299,299,4.0
300,300,3.0
301,301,2.0
302,302,1.0
303,303,3.0
304,304,5.0
305,305,6.0
306,306,4.0
307,307,7.0
308,308,5.0
309,309,3.0
310,310,1.0
311,311,1.0
312,312,2.0
313,313,6.0
314,314,7.0
315,315,3.0
316,316,0.0
317,317,2.0
318,318,5.0
319,319,6.0
320,320,5.0
321,321,8.0
322,322,7.0
323,323,5.0
324,324,6.0
325,325,5.0
326,326,4.0
327,327,7.0
328,328,3.0
329,329,3.0
330,330,6.0
331,331,4.0
332,332,2.0
333,333,3.0
334,334,4.0
335,335,3.0
336,336,3.0
337,337,2.0
338,338,4.0
339,339,7.0
340,340,5.0
341,341,4.0
342,342,4.0
343,343,5.0
344,344,3.0
345,345,5.0
346,346,5.0
347,347,8.0
348,348,2.0
349,349,1.0
350,350,0.0
351,351,3.0
352,352,1.0
353,353,2.0
354,354,3.0
355,355,2.0
356,356,4.0
357,357,1.0
358,358,1.0
359,359,3.0
360,360,4.0
361,361,2.0
362,362,4.0
363,363,6.0
364,364,5.0
365,365,3.0
366,366,2.0
367,367,3.0
368,368,0.0
369,369,2.0
370,370,5.0
371,371,3.0
372,372,1.0
373,373,5.0
374,374,5.0
375,375,4.0
376,376,2.0
377,377,3.0
378,378,2.0
379,379,6.0
380,380,8.0
381,381,4.0
382,382,2.0
383,383,5.0
384,384,5.0
385,385,3.0
386,386,7.0
387,387,6.0
388,388,6.0
389,389,7.0
390,390,5.0
391,391,8.0
392,392,7.0
393,393,4.0
394,394,4.0
395,395,6.0
396,396,8.0
397,397,10.0
398,398,5.0
399,399,1.0
400,400,2.0
401,401,3.0
402,402,2.0
403,403,1.0
404,404,4.0
405,405,3.0
406,406,0.0
407,407,3.0
408,408,1.0
409,409,3.0
410,410,2.0
411,411,2.0
412,412,6.0
413,413,6.0
414,414,5.0
415,415,6.0
416,416,2.0
417,417,7.0
418,418,9.0
419,419,9.0
420,420,7.0
421,421,6.0
422,422,5.0
423,423,5.0
424,424,3.0
425,425,3.0
426,426,3.0
427,427,6.0
428,428,7.0
429,429,5.0
430,430,4.0
431,431,6.0
432,432,9.0
433,433,3.0
434,434,4.0
435,435,3.0
436,436,4.0
437,437,4.0
438,438,1.0
439,439,3.0
440,440,5.0
441,441,4.0
442,442,1.0
443,443,3.0
444,444,8.0
445,445,5.0
446,446,4.0
447,447,4.0
448,448,4.0
449,449,4.0
450,450,3.0
451,451,6.0
452,452,7.0
453,453,3.0
454,454,4.0
455,455,4.0
456,456,4.0
457,457,3.0
458,458,5.0
459,459,4.0
460,460,8.0
461,461,7.0
462,462,4.0
463,463,6.0
464,464,2.0
465,465,2.0
466,466,6.0
467,467,4.0
468,468,5.0
469,469,7.0
470,470,8.0
471,471,7.0
472,472,4.0
473,473,4.0
474,474,5.0
475,475,7.0
476,476,6.0
477,477,7.0
478,478,3.0
479,479,4.0
480,480,3.0
481,481,2.0
482,482,3.0
483,483,2.0
484,484,1.0
485,485,3.0
486,486,2.0
487,487,5.0
488,488,3.0
489,489,6.0
490,490,9.0
491,491,11.0
492,492,4.0
493,493,2.0
494,494,6.0
495,495,5.0
496,496,4.0
497,497,2.0
498,498,5.0
499,499,5.0
500,500,7.0
501,501,4.0
502,502,4.0
503,503,3.0
504,504,3.0
505,505,5.0
506,506,5.0
507,507,5.0
508,508,5.0
509,509,4.0
510,510,3.0
511,511,1.0
512,512,3.0
513,513,5.0
514,514,5.0
515,515,2.0
516,516,5.0
517,517,5.0
518,518,2.0
519,519,4.0
520,520,5.0
521,521,5.0
522,522,4.0
523,523,4.0
524,524,6.0
525,525,4.0
526,526,3.0
527,527,4.0
528,528,2.0
529,529,4.0
530,530,5.0
531,531,5.0
532,532,3.0
533,533,2.0
534,534,1.0
535,535,4.0
536,536,4.0
537,537,5.0
538,538,2.0
539,539,2.0
540,540,4.0
541,541,3.0
542,542,2.0
543,543,2.0
544,544,5.0
545,545,5.0
546,546,3.0
547,547,4.0
548,548,4.0
549,549,9.0
550,550,7.0
551,551,6.0
552,552,5.0
553,553,5.0
554,554,8.0
555,555,3.0
556,556,4.0
557,557,4.0
558,558,6.0
559,559,3.0
560,560,2.0
561,561,3.0
562,562,4.0
563,563,4.0
564,564,4.0
565,565,5.0
566,566,4.0
567,567,2.0
568,568,5.0
569,569,5.0
570,570,3.0
571,571,5.0
572,572,4.0
573,573,2.0
574,574,7.0
575,575,8.0
576,576,5.0
577,577,8.0
578,578,6.0
579,579,1.0
580,580,0.0
581,581,3.0
582,582,6.0
583,583,2.0
584,584,5.0
585,585,3.0
586,586,2.0
587,587,1.0
588,588,1.0
589,589,5.0
590,590,6.0
591,591,6.0
592,592,6.0
593,593,3.0
594,594,2.0
595,595,2.0
596,596,0.0
597,597,4.0
598,598,6.0
599,599,8.0
600,600,6.0
601,601,5.0
602,602,5.0
603,603,2.0
604,604,2.0
605,605,3.0
606,606,4.0
607,607,8.0
608,608,5.0
609,609,6.0
610,610,4.0
611,611,1.0
612,612,2.0
613,613,2.0
614,614,3.0
615,615,4.0
616,616,3.0
617,617,3.0
618,618,4.0
619,619,5.0
620,620,6.0
621,621,1.0
622,622,4.0
623,623,7.0
624,624,6.0
625,625,6.0
626,626,4.0
627,627,4.0
628,628,4.0
629,629,4.0
630,630,2.0
631,631,4.0
632,632,4.0
633,633,5.0
634,634,5.0
635,635,8.0
636,636,4.0
637,637,3.0
638,638,4.0
639,639,4.0
640,640,3.0
641,641,3.0
642,642,2.0
643,643,4.0
644,644,5.0
645,645,3.0
646,646,0.0
647,647,3.0
648,648,4.0
649,649,4.0
650,650,4.0
651,651,4.0
652,652,3.0
653,653,2.0
654,654,5.0
655,655,3.0
656,656,1.0
657,657,3.0
658,658,5.0
659,659,1.0
660,660,0.0
661,661,4.0
662,662,5.0
663,663,7.0
664,664,4.0
665,665,4.0
666,666,4.0
667,667,3.0
668,668,7.0
669,669,9.0
670,670,4.0
671,671,4.0
672,672,4.0
673,673,5.0
674,674,3.0
675,675,2.0
676,676,4.0
677,677,6.0
678,678,4.0
679,679,3.0
680,680,4.0
681,681,5.0
682,682,4.0
683,683,5.0
