,t,fuel_consumption
0,0,21.90500000000001
1,1,13.988000000000001
2,2,10.388805426181719
3,3,9.047111586329258
4,4,12.122168447701895
5,5,11.859307397142135
6,6,11.895174882634745
7,7,13.221885866565112
8,8,14.106639335069188
9,9,13.02665167276708
10,10,12.599732775998753
11,11,13.502582047621772
12,12,13.235874995660375
13,13,12.260245169986979
14,14,14.557625175508642
15,15,14.136734138146794
16,16,12.585855490013644
17,17,14.309902607052068
18,18,12.839123612149189
19,19,14.480324069251376
20,20,12.794912183475992
21,21,13.425327546812584
22,22,12.625002515760652
23,23,12.559624613651474
24,24,11.873522122266868
25,25,11.976233048702529
26,26,12.473592930723864
27,27,11.257021796648035
28,28,11.910653804264063
29,29,13.687344188346792
30,30,11.268943252881447
31,31,13.096810358916475
32,32,11.841001734827145
33,33,13.624581473740488
34,34,12.029204273498026
35,35,12.459490715682364
36,36,11.745354996988796
37,37,13.521999269736027
38,38,11.239322345454498
39,39,11.970502265883992
40,40,10.236542810373958
41,41,9.730548525479088
42,42,11.231138451492043
43,43,9.64971474670421
44,44,10.999720783295768
45,45,9.177805101654632
46,46,10.289435091490082
47,47,11.325000307970418
48,48,10.275435994912186
49,49,11.01564324946169
50,50,12.005724691439706
51,51,10.67824556292152
52,52,10.858955518923615
53,53,10.7392423378268
54,54,10.057714522016973
55,55,12.122584684846661
56,56,10.894597484987576
57,57,12.049863080088016
58,58,12.590819566135856
59,59,11.721460753516869
60,60,12.906506140069526
61,61,10.757336048265486
62,62,11.269109283981484
63,63,11.824439865942953
64,64,10.787183019634858
65,65,10.210297921797455
66,66,11.311473005604634
67,67,10.715923055632581
68,68,11.854369146868772
69,69,9.009399161938463
70,70,9.845035528730671
71,71,9.841138313404434
72,72,10.693481811479348
73,73,10.509014195565236
74,74,11.063831758593635
75,75,9.75078210344171
76,76,10.88088414733229
77,77,8.704252822258246
78,78,9.291547988483241
79,79,10.898032498334038
80,80,10.867246992174351
81,81,10.684194226178146
82,82,9.052762452740577
83,83,10.178971253375622
84,84,8.961116438093415
85,85,10.955354226539134
86,86,8.848269759865502
87,87,12.04239217135147
88,88,10.190847398926088
89,89,10.070411099969547
90,90,9.253237318573126
91,91,10.69140915354403
92,92,9.188918799083524
93,93,9.802823740926607
94,94,9.280479683512146
95,95,10.714329389689444
96,96,9.957378884401898
97,97,10.939539257435028
98,98,9.236522141902622
99,99,10.440383404976139
100,100,10.512628465440905
101,101,11.95456178960462
102,102,10.085059614679471
103,103,9.194143767743366
104,104,10.270574358835638
105,105,10.628989733651549
106,106,11.148228438715346
107,107,9.608749894266651
108,108,10.15353193567086
109,109,11.24844272260543
110,110,10.995308978689398
111,111,11.403758706629533
112,112,10.009822108278943
113,113,9.195427030284893
114,114,10.355485183792242
115,115,9.758346223379988
116,116,11.185718361624954
117,117,11.725181985846055
118,118,9.797407898136079
119,119,9.325867903120018
120,120,9.522112167717266
121,121,8.930932955690386
122,122,10.801800199927406
123,123,11.314067712423213
124,124,11.502084876687144
125,125,10.763627775541773
126,126,10.654676573833482
127,127,11.075284871547762
128,128,10.222657736004056
129,129,11.112190703145986
130,130,10.023486188583448
131,131,9.063710048214592
132,132,10.070365362156567
133,133,10.623445231526578
134,134,9.822861600730059
135,135,10.55041227967029
136,136,10.499448157086762
137,137,11.684766739157501
138,138,10.183438247537266
139,139,11.764509730913726
