,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,70.0
3,3,48.0
4,4,72.0
5,5,76.0
6,6,75.0
7,7,73.0
8,8,82.0
9,9,77.0
10,10,77.0
11,11,79.0
12,12,77.0
13,13,80.0
14,14,80.0
15,15,90.0
16,16,79.0
17,17,76.0
18,18,76.0
19,19,75.0
20,20,89.0
21,21,76.0
22,22,82.0
23,23,74.0
24,24,71.0
25,25,72.0
26,26,80.0
27,27,74.0
28,28,72.0
29,29,70.0
30,30,76.0
31,31,75.0
32,32,65.0
33,33,79.0
34,34,84.0
35,35,75.0
36,36,74.0
37,37,83.0
38,38,70.0
39,39,66.0
40,40,71.0
41,41,61.0
42,42,68.0
43,43,67.0
44,44,63.0
45,45,64.0
46,46,62.0
47,47,68.0
48,48,68.0
49,49,68.0
50,50,73.0
51,51,77.0
52,52,72.0
53,53,67.0
54,54,70.0
55,55,72.0
56,56,72.0
57,57,71.0
58,58,75.0
59,59,75.0
60,60,73.0
61,61,73.0
62,62,72.0
63,63,79.0
64,64,70.0
65,65,64.0
66,66,69.0
67,67,71.0
68,68,73.0
69,69,66.0
70,70,66.0
71,71,60.0
72,72,68.0
73,73,68.0
74,74,70.0
75,75,68.0
76,76,59.0
77,77,58.0
78,78,54.0
79,79,66.0
80,80,70.0
81,81,68.0
82,82,60.0
83,83,62.0
84,84,62.0
85,85,64.0
86,86,59.0
87,87,66.0
88,88,73.0
89,89,60.0
90,90,60.0
91,91,64.0
92,92,64.0
93,93,64.0
94,94,58.0
95,95,65.0
96,96,68.0
97,97,68.0
98,98,57.0
99,99,63.0
100,100,65.0
101,101,74.0
102,102,67.0
103,103,65.0
104,104,60.0
105,105,69.0
106,106,67.0
107,107,64.0
108,108,62.0
109,109,73.0
110,110,69.0
111,111,68.0
112,112,67.0
113,113,58.0
114,114,67.0
115,115,65.0
116,116,66.0
117,117,72.0
118,118,69.0
119,119,63.0
120,120,55.0
121,121,58.0
122,122,70.0
123,123,71.0
124,124,74.0
125,125,70.0
126,126,71.0
127,127,69.0
128,128,71.0
129,129,62.0
130,130,66.0
131,131,61.0
132,132,61.0
133,133,66.0
134,134,69.0
135,135,66.0
136,136,68.0
137,137,65.0
138,138,68.0
139,139,69.0
140,140,75.0
141,141,75.0
142,142,66.0
143,143,71.0
144,144,71.0
145,145,70.0
146,146,80.0
147,147,64.0
148,148,62.0
149,149,68.0
150,150,68.0
151,151,61.0
152,152,65.0
153,153,72.0
154,154,68.0
155,155,64.0
156,156,59.0
157,157,62.0
158,158,64.0
159,159,61.0
160,160,68.0
161,161,71.0
