,t,fuel_consumption
0,0,21.90500000000001
1,1,6.679999999999998
2,2,4.019999999999998
3,3,3.186666666666667
4,4,2.9300000000000006
5,5,3.0
6,6,3.313333333333333
7,7,3.834285714285714
8,8,4.465711392405062
9,9,4.948664182596159
10,10,5.315387497521001
11,11,5.59408142615506
12,12,5.806324398658296
13,13,5.968295049766418
14,14,6.0921162959502935
15,15,6.186905726317255
16,16,6.259549836187707
17,17,6.315269802105786
18,18,6.358036679037244
19,19,6.390878343830864
20,20,6.4161081005893585
21,21,6.435496059353664
22,22,6.450398316143041
23,23,6.461854755706009
24,24,6.470663359069643
25,25,6.477436816693631
26,26,6.482645754251775
27,27,6.486651792523191
28,28,6.489732865377424
29,29,6.492102628531118
30,30,6.493925349976115
31,31,6.495327340865889
32,32,6.496405734731907
33,33,6.497235232580507
34,34,6.497873286610095
35,35,6.498364084835238
36,36,6.498741614495665
37,37,6.499032017526929
38,38,6.499255401870638
39,39,6.499427234440715
40,40,6.499559412429261
41,41,6.499661087265712
42,42,6.499739298359225
43,43,6.499799460550008
44,44,6.499845739046564
45,45,6.4998813378239495
46,46,6.499908721459739
47,47,6.49992978577181
48,48,6.499945989075091
49,49,6.499958453146433
50,50,6.49996804088882
51,51,6.499975416072438
52,52,6.499981089288923
53,53,6.499985453300613
54,54,6.499988810232093
55,55,6.499991392486729
56,56,6.499993378836244
57,57,6.499994906797285
58,58,6.499996082151863
59,59,6.499996986270726
60,60,6.499997681746749
61,61,6.499998216728289
62,62,6.499998628252545
63,63,6.499998944809659
64,64,6.499999188315126
65,65,6.499999375627022
66,66,6.4999995197130955
67,67,6.499999630548537
68,68,6.499999715806566
69,69,6.499999781389665
70,70,6.499999831838204
71,71,6.499999870644773
72,72,6.49999990049598
73,73,6.499999923458446
74,74,6.4999999411218825
75,75,6.499999954709138
76,76,6.4999999651608755
77,77,6.499999973200675
78,78,6.499999979385134
79,79,6.499999984142411
80,80,6.4999999878018535
81,81,6.499999990616811
82,82,6.499999992782162
83,83,6.499999994447818
84,84,6.499999995729089
85,85,6.499999996714685
86,86,6.499999997472832
87,87,6.499999998056027
88,88,6.499999998504635
89,89,6.499999998849721
90,90,6.49999999911517
91,91,6.4999999993193605
92,92,6.499999999476432
93,93,6.4999999995972555
94,94,6.499999999690198
95,95,6.499999999761689
96,96,6.4999999998166835
97,97,6.499999999858988
98,98,6.499999999891528
99,99,6.499999999916561
100,100,6.499999999935816
101,101,6.499999999950627
102,102,6.4999999999620215
103,103,6.499999999970787
104,104,6.499999999977526
105,105,6.499999999982715
106,106,6.499999999986703
107,107,6.499999999989772
108,108,6.499999999992132
109,109,6.49999999999395
110,110,6.499999999995344
111,111,6.499999999996418
112,112,6.499999999997244
113,113,6.499999999997882
114,114,6.499999999998369
115,115,6.499999999998745
116,116,6.484138766046981
117,117,6.459354096544112
118,118,6.438872637688873
119,119,6.16832037261346
120,120,6.054117587445291
121,121,6.329287679311194
122,122,6.432963334769968
123,123,6.142923224374233
124,124,6.090776191740232
125,125,6.816880536463883
126,126,5.426713869749965
127,127,5.72013673001058
128,128,5.222199395198246
129,129,4.74929345996381
130,130,5.11376441695561
131,131,5.1277950247124
132,132,4.990898859470561
133,133,5.969498174507456
134,134,5.085455900397063
135,135,4.946373023123037
136,136,5.590111443583385
137,137,5.29252375686932
138,138,6.886947687169018
139,139,4.878097588249769
140,140,4.6573106299818114
141,141,5.192759848931974
142,142,4.849459690373634
143,143,4.830966176043099
144,144,6.40205616565187
145,145,5.206439460632711
146,146,6.0474495399562285
147,147,5.250250506733904
148,148,10.343958172334853
149,149,5.252684206980148
150,150,5.226945120355805
151,151,5.176234932384603
152,152,5.491405465981171
153,153,6.625816755866218
154,154,5.242110786104573
155,155,26.435213289631406
156,156,5.5587070491301604
157,157,4.986178760138834
158,158,5.275496965943238
159,159,4.518958798567417
160,160,4.720059428947788
161,161,5.395407948249677
162,162,5.523262132835621
163,163,5.784716922735111
164,164,5.095419845746836
165,165,5.813572874719998
166,166,6.453527494558479
167,167,4.770911703085426
168,168,4.881633935250539
169,169,5.016144625829553
170,170,5.670278600510103
171,171,5.362118248328631
172,172,5.1588564954600225
173,173,5.355889185733689
174,174,5.2797904216787
175,175,5.576551744988072
176,176,5.169806531175458
177,177,4.71173152580295
178,178,4.638287978562036
179,179,5.477423310540442
180,180,3.992253228845369
181,181,5.482547442642208
182,182,5.406387700516317
183,183,5.399634450091391
184,184,8.034316385046495
185,185,5.827205155306935
186,186,5.7383793261048845
187,187,5.508115236572454
188,188,5.3109374575382455
189,189,5.62720642504587
190,190,5.376627238162821
191,191,5.022031557305755
192,192,4.870080947277623
193,193,5.0879832690883156
194,194,5.0923397929778735
195,195,5.535358648716924
196,196,7.136735540984184
197,197,5.286107527399703
198,198,5.216704354875699
199,199,5.980013909070997
200,200,5.457537403850401
201,201,5.833124167532528
202,202,6.096230799661139
203,203,5.781577650484387
204,204,5.536661671505011
205,205,5.080709896438965
206,206,4.804815245420434
207,207,5.6082285271263235
208,208,4.658960486368856
209,209,5.042686002025129
210,210,5.034280080189559
211,211,5.1063767009795225
212,212,5.271911072094329
213,213,4.885711232085262
214,214,5.468492683865584
215,215,5.142680382371309
216,216,5.257599693595304
217,217,5.520535419222377
218,218,5.445875549058003
219,219,5.073010821456807
220,220,4.940925898690442
221,221,5.846920247181697
222,222,5.3022774956275205
223,223,5.019714440863756
224,224,5.022336895515975
225,225,4.746197578636759
226,226,13.158454901412286
227,227,5.676266019229763
228,228,5.0496370597834614
229,229,5.107366546073554
230,230,4.86270092903586
231,231,4.759290453489526
232,232,4.716450214590867
233,233,5.075566541135764
234,234,5.299537992558902
235,235,5.189283548324494
236,236,5.25097254631779
237,237,4.980781342826407
238,238,5.24223119792235
239,239,5.26514609910125
240,240,5.0924176599463085
241,241,5.532063525932017
242,242,5.242895162829075
243,243,4.9944186675990325
244,244,5.232498612296245
245,245,5.083201789616048
246,246,5.482885658471925
247,247,5.478414601463661
248,248,5.110002409113357
249,249,5.091317846416441
250,250,4.853748696450607
251,251,6.481345937361514
252,252,5.017439264977408
253,253,5.0631812981059
254,254,4.730421164650991
255,255,4.778390577658147
256,256,5.07893835504599
257,257,5.289953631697787
258,258,5.539836815567381
259,259,5.339986005572425
260,260,6.51109981769318
261,261,5.524078735069314
262,262,5.361438665165338
263,263,5.314822871576476
264,264,5.402211473369579
265,265,5.09201401648734
266,266,4.66398030795045
267,267,4.9059620392281875
268,268,5.497207225971566
