,velocity,flow,congestion,fuel_consumption
0,1.1230403420108592,0.39306411970380073,21.0,4.467308700230501
1,1.1228598659117721,0.39300095306912025,21.0,4.455234321368802
2,1.1217204033677928,0.3926021411787275,22.0,4.492355537564499
3,1.1220463783107533,0.39271623240876363,21.0,4.462902960266445
4,1.1225581496596428,0.39289535238087503,21.0,4.4871908029685414
5,1.1221717122268826,0.39276009927940886,21.0,4.434810003592507
6,1.1222766632470995,0.39279683213648475,22.0,4.506446092234102
7,1.1219890344016663,0.3926961620405832,21.0,4.462800930943496
8,1.123189738720143,0.39311640855205005,21.0,4.485640006965384
9,1.1235596879327463,0.3932458907764612,23.0,4.4450278444854785
10,1.1221978000626514,0.392769230021928,21.0,4.484294304584376
11,1.1218507872162486,0.392647775525687,21.0,4.451817627518754
12,1.1233664509176333,0.39317825782117166,21.0,4.476514351100151
13,1.122485124118847,0.39286979344159645,21.0,4.482211806230754
14,1.1211729637682095,0.3924105373188733,21.0,4.465079363537364
15,1.121992584579294,0.39269740460275293,21.0,4.470784335543312
16,1.1242530285953711,0.39348856000837984,23.0,4.480078415943907
17,1.122396505141675,0.3928387767995863,21.0,4.459073657601285
18,1.122156917199521,0.3927549210198323,21.0,4.4716685888812355
19,1.1230965535416872,0.39308379373959057,22.0,4.4952775788531385
