,velocity,flow,congestion,fuel_consumption
0,1.156046884395116,0.578023442197558,21.0,4.026542884830546
1,1.158173583712594,0.579086791856297,21.0,4.007776511233013
2,1.1565428536195719,0.578271426809786,21.0,4.058132319764606
3,1.1563238559310314,0.5781619279655157,21.0,3.9382644882778157
4,1.1574073158293336,0.5787036579146668,21.0,3.9433266853048514
5,1.1580567102180213,0.5790283551090106,21.0,4.0401694023524595
6,1.1569222655866038,0.5784611327933019,21.0,3.9536090020221386
7,1.1572598091867792,0.5786299045933897,21.0,3.983490798940499
8,1.1561990528348098,0.5780995264174049,21.0,4.0432898170806855
9,1.1566304726698888,0.5783152363349443,21.0,4.0058475438795345
10,1.1579840550305165,0.5789920275152582,21.0,4.020374421753875
11,1.1567489588197954,0.5783744794098978,21.0,4.021371455437902
12,1.157283419891152,0.578641709945576,21.0,4.010516210999348
13,1.1565319256093016,0.5782659628046508,21.0,4.095195306682818
14,1.157129796893049,0.5785648984465245,21.0,4.0057819820925795
15,1.156559358364666,0.578279679182333,21.0,3.962564895585094
16,1.1564560365819803,0.5782280182909901,21.0,4.112791014713478
17,1.1561569912653116,0.5780784956326558,21.0,4.011979449858039
18,1.1573680264314974,0.5786840132157487,21.0,4.059463599166178
19,1.1561560212738522,0.5780780106369261,21.0,3.9795343170052684
