,velocity,flow,congestion,fuel_consumption
0,0.68610852122618,0.34305426061309,21.0,5.258976138458643
1,0.6755547364095089,0.33777736820475446,21.0,5.422217170743225
2,0.6784874362545368,0.3392437181272684,21.0,5.311552554103313
3,0.6820766468362796,0.3410383234181398,21.0,5.31789704077798
4,0.6883597501793072,0.34417987508965364,21.0,5.23526146521352
5,0.682873125049336,0.341436562524668,21.0,5.280936771875987
6,0.6818847564984751,0.34094237824923757,21.0,5.329760043790517
7,0.6906083954852766,0.3453041977426383,21.0,5.233578861615502
8,0.6855621345153312,0.3427810672576656,21.0,5.305463486533064
9,0.6923174139896071,0.34615870699480356,21.0,5.194491697917241
10,0.6845621609180996,0.3422810804590498,21.0,5.3151438883305655
11,0.689688001816882,0.344844000908441,21.0,5.216625146733673
12,0.6857107406545782,0.342855370327289,21.0,5.322222554454906
13,0.6785242837300166,0.33926214186500825,21.0,5.374375447721947
14,0.6848262648890772,0.34241313244453864,21.0,5.292760533129201
15,0.6854665605422118,0.3427332802711059,21.0,5.305341429298765
16,0.6905994462398606,0.3452997231199303,21.0,5.228482570087735
17,0.6841712638721151,0.34208563193605757,21.0,5.31178333517183
18,0.6748157716946069,0.3374078858473035,21.0,5.382429581070437
19,0.6720499066167297,0.3360249533083648,21.0,5.515678810787268
