,velocity,flow,congestion,fuel_consumption
0,1.858728606033708,1.7348133656314608,7356.0,7.431177194687784
1,1.8845272587178254,1.758892108136637,2001.0,7.833350307867828
2,1.9095714010634752,1.782266640992577,2124.0,6.817512757154712
3,1.912266981093376,1.7847825156871509,2489.0,6.699716147828612
4,1.9071384347857638,1.7799958724667129,,6.538078383847934
5,1.8831657297900632,1.757621347804059,3018.0,7.367802185097337
6,1.918788179595831,1.7908689676227756,,6.5176312338706515
7,1.881520988224247,1.7560862556759638,2525.0,7.3274212514129
8,1.8802555561741745,1.7549051857625628,7331.0,7.695715669272812
9,1.9139303614710867,1.7863350040396808,,6.572688343576131
10,1.883761654814125,1.758177544493183,3276.0,7.675381363115237
11,1.8612533158230293,1.7371697614348274,2035.0,8.520897378413649
12,1.89323955176083,1.7670235816434414,10500.0,7.051744572469387
13,1.8977628394104704,1.7712453167831057,2002.0,7.12515148037436
14,1.8910266235894417,1.7649581820168123,2001.0,7.739766283033183
15,1.8809120975877334,1.7555179577485513,2007.0,7.041967177693841
16,1.8839549100734307,1.7583579160685352,2006.0,7.264826089083442
17,1.8993193426230095,1.7726980531148089,3576.0,7.681578510742847
18,1.8975877589413355,1.7710819083452465,6211.0,7.2655243583381806
19,1.849406517013508,1.7261127492126076,2609.0,8.445041335107565
