,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,11.0
10,10,16.0
11,11,20.0
12,12,16.0
13,13,19.0
14,14,19.0
15,15,30.0
16,16,17.0
17,17,15.0
18,18,16.0
19,19,15.0
20,20,17.0
21,21,20.0
22,22,18.0
23,23,17.0
24,24,21.0
25,25,26.0
26,26,20.0
27,27,20.0
28,28,22.0
29,29,19.0
30,30,20.0
31,31,21.0
32,32,19.0
33,33,19.0
34,34,20.0
35,35,17.0
36,36,19.0
37,37,19.0
38,38,14.0
39,39,13.0
40,40,16.0
41,41,14.0
42,42,16.0
43,43,27.0
44,44,21.0
45,45,15.0
46,46,14.0
47,47,15.0
48,48,13.0
49,49,20.0
50,50,20.0
51,51,20.0
52,52,13.0
53,53,13.0
54,54,16.0
55,55,22.0
56,56,19.0
57,57,23.0
58,58,23.0
59,59,16.0
60,60,16.0
61,61,22.0
62,62,18.0
63,63,17.0
64,64,18.0
65,65,19.0
66,66,20.0
67,67,11.0
68,68,15.0
69,69,20.0
70,70,18.0
71,71,18.0
72,72,18.0
73,73,18.0
74,74,19.0
75,75,19.0
76,76,17.0
77,77,18.0
78,78,19.0
79,79,18.0
80,80,26.0
81,81,28.0
82,82,17.0
83,83,17.0
84,84,19.0
85,85,22.0
86,86,15.0
87,87,14.0
88,88,15.0
89,89,15.0
90,90,17.0
91,91,23.0
92,92,27.0
93,93,14.0
94,94,9.0
95,95,17.0
96,96,23.0
97,97,19.0
98,98,20.0
99,99,25.0
100,100,26.0
101,101,25.0
102,102,20.0
103,103,19.0
104,104,25.0
105,105,16.0
106,106,15.0
107,107,19.0
108,108,22.0
109,109,23.0
110,110,20.0
111,111,22.0
112,112,20.0
113,113,21.0
114,114,19.0
115,115,22.0
116,116,19.0
117,117,17.0
118,118,23.0
119,119,23.0
120,120,22.0
121,121,24.0
122,122,18.0
123,123,23.0
124,124,26.0
125,125,21.0
126,126,16.0
127,127,20.0
128,128,15.0
129,129,19.0
130,130,26.0
131,131,28.0
132,132,19.0
133,133,17.0
134,134,20.0
135,135,23.0
136,136,22.0
137,137,20.0
138,138,24.0
139,139,23.0
140,140,20.0
141,141,17.0
142,142,19.0
143,143,18.0
144,144,20.0
145,145,20.0
146,146,21.0
147,147,17.0
148,148,17.0
149,149,16.0
150,150,12.0
151,151,15.0
152,152,24.0
153,153,17.0
154,154,25.0
155,155,29.0
156,156,28.0
157,157,19.0
158,158,23.0
159,159,22.0
160,160,18.0
161,161,23.0
