,velocity,flow,congestion,fuel_consumption
0,1.5086306033510712,0.522991942495038,2014.0,4.827781042445876
1,1.505661051934455,0.5219624980039445,2080.0,4.918830446067654
2,1.5055020143807034,0.5219073649853105,2243.0,5.026652627059885
3,1.505327473952634,0.5218468576369132,2571.0,5.012366315553164
4,1.5063665400839252,0.522207067229094,2011.0,4.900469520437881
5,1.5020304269785902,0.520703881352578,2723.0,5.0791988747283465
6,1.5066870997665576,0.52231819458574,2015.0,4.918391897988977
7,1.5062102876675891,0.5221528997247642,2004.0,4.9283874607862215
8,1.5063221914072182,0.5221916930211691,2001.0,4.980438488092236
9,1.5079970789142494,0.5227723206902731,2001.0,4.852310662004658
10,1.507641974145722,0.5226492177038503,4349.0,4.878845487493793
11,1.5060622370577217,0.5221015755133435,2315.0,4.95322179948795
12,1.5077697064167461,0.522693498224472,2017.0,4.975547391613825
13,1.5064429418051173,0.5222335531591072,3636.0,5.020269350035306
14,1.5078770995878361,0.5227307278571165,2029.0,4.913729667167221
15,1.5056402678488703,0.521955292854275,2073.0,4.942809431265786
16,1.507205838757105,0.522498024102463,2368.0,4.865343612502637
17,1.506777088781941,0.5223493907777396,2169.0,5.005311272653637
18,1.5044188496103263,0.5215318678649131,5352.0,4.901947767285878
19,1.5059142570502082,0.5220502757774056,3487.0,4.912440746983436
