,velocity,flow,congestion,fuel_consumption
0,1.1593643022854347,0.5796821511427174,645.0,3.981847460355016
1,1.1597196898606326,0.5798598449303164,866.0,3.9266753420615625
2,1.16044397174928,0.5802219858746399,122.0,3.960693964247315
3,1.1592124412875922,0.5796062206437962,569.0,4.040182506830778
4,1.159811036167486,0.5799055180837429,766.0,4.016520241503281
5,1.1599645463465318,0.5799822731732659,761.0,4.005361158451417
6,1.1597786957213874,0.5798893478606937,854.0,3.949056740103693
7,1.1619228273414781,0.5809614136707391,2087.0,3.916444146954829
8,1.1594003757393843,0.5797001878696922,1174.0,3.9634090888013596
9,1.1602264040559866,0.5801132020279932,1703.0,3.957417782789873
10,1.1593930912413812,0.5796965456206907,1172.0,3.914519245452217
11,1.1588184764709144,0.5794092382354572,1646.0,4.0786044189758
12,1.1584389905453254,0.5792194952726626,804.0,4.168489787805352
13,1.1597327279400786,0.5798663639700393,425.0,3.9685219373139833
14,1.1577809972790025,0.5788904986395011,383.0,3.924513196001409
15,1.1597126773026731,0.5798563386513366,281.0,4.009807349576237
16,1.1601998870946661,0.5800999435473332,1201.0,3.9868463387966044
17,1.1595559765357053,0.5797779882678527,370.0,3.9574541709686284
18,1.1609814148553412,0.5804907074276706,470.0,3.960248404299897
19,1.1589130708897315,0.5794565354448658,1020.0,3.9678111340593416
